;;;;;
Componentes: 1080p 60Hz IPS;;;;;
Peça;Modelo;Valor;Parcelado;Loja;Link
Monitor;1080p 60Hz IPS;R$ 600,00;R$ 600,00;Amazon;https://www.amazon.com.br
;;;;;
Componentes: 1080p 75Hz Gamer;;;;;
Peça;Modelo;Valor;Parcelado;Loja;Link
Monitor;1080p 75Hz Gamer;R$ 850,00;R$ 850,00;Pichau;https://www.pichau.com.br
;;;;;
Componentes: 1080p 144Hz Pro;;;;;
Peça;Modelo;Valor;Parcelado;Loja;Link
Monitor;1080p 144Hz Pro;R$ 1.200,00;R$ 1.200,00;Terabyte;https://www.terabyteshop.com.br
;;;;;
Componentes: Quad HD 144Hz Elite;;;;;
Peça;Modelo;Valor;Parcelado;Loja;Link
Monitor;Quad HD 144Hz Elite;R$ 2.500,00;R$ 2.500,00;Mercado Livre;https://www.mercadolivre.com.br
;;;;;
Componentes: Quad HD 240Hz Ultra;;;;;
Peça;Modelo;Valor;Parcelado;Loja;Link
Monitor;Quad HD 240Hz Ultra;R$ 4.500,00;R$ 4.500,00;Kabum;https://www.kabum.com.br
;;;;;
Componentes: 4K 144Hz OLED Ultimate;;;;;
Peça;Modelo;Valor;Parcelado;Loja;Link
Monitor;4K 144Hz OLED Ultimate;R$ 7.500,00;R$ 7.500,00;Pato Loco;https://patoloco.com.br
;;;;;
